year,evi,meanSunshine,meanTemp,Rain,totalYield
2007,3066.321,5.451450189155107,25.05838587641865,5.07250945775536,501.65909090909093
2008,3042.6687,4.320305375129991,23.473903007245603,6.340350952187573,529.3863636363636
2009,2877.6729,4.701036612734307,22.39227776946588,3.7378652189710815,517.5
2010,2867.4644,6.131149642707021,25.295964691046656,6.196030745211074,517.3181818181819
2011,2976.9685,5.647919293820932,24.32269861286255,5.890290037831021,518.8636363636364
2012,3617.336,6.91954602774275,25.35687263556116,3.233921815889029,534.6818181818181
2013,3538.931,6.353995768055229,24.460813901297367,5.041571376664458,537.3636363636364
2014,3501.1956,5.273518284993695,22.900126103404794,3.67717528373266,544.2954545454545
2015,3004.5435,4.19735182849937,23.22534678436318,6.163303909205548,501.95454545454544
2016,2961.8457,4.535813366960908,24.51424968474149,8.646279949558636,516.7045454545455
2017,3286.5476,3.8163934426229504,23.06179066834805,3.962799495586381,520.6136363636364
2018,3125.667,4.635912147961329,24.14193148381673,6.128709541824297,519.0909090909091
